{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:16', 'vehicle_id': 'NRA_000000001508_Southbound-4.23043', 'lane_id': '106130759.2437', 'lane_index': 0, 'direction': 'Unknown', 'speed': '93.55', 'distance': '49.83135987479943', 'vehicle_class': 'passenger', 'route_id': '106130759_to_621521116#0'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:17', 'vehicle_id': 'NRA_000000001508_Southbound-2.13094', 'lane_id': '106130759.2098', 'lane_index': 3, 'direction': 'S', 'speed': '121.69', 'distance': '19.809945509797018', 'vehicle_class': 'passenger', 'route_id': '106130759_to_615002705#1'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:17', 'vehicle_id': 'NRA_000000001508_Southbound-4.23042', 'lane_id': '106130759.2098', 'lane_index': 0, 'direction': 'S', 'speed': '98.47', 'distance': '30.65777432925823', 'vehicle_class': 'passenger', 'route_id': '106130759_to_621521116#0'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:18', 'vehicle_id': 'NRA_000000001508_Southbound-1.18791', 'lane_id': '106130759.2437', 'lane_index': 3, 'direction': 'Unknown', 'speed': '112.72', 'distance': '94.88222915761759', 'vehicle_class': 'passenger', 'route_id': '106130759_to_428960734'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:18', 'vehicle_id': 'NRA_000000001508_Southbound-2.13094', 'lane_id': '106130759.2437', 'lane_index': 3, 'direction': 'Unknown', 'speed': '119.27', 'distance': '42.056251105742724', 'vehicle_class': 'passenger', 'route_id': '106130759_to_615002705#1'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:18', 'vehicle_id': 'NRA_000000001508_Southbound-4.23041', 'lane_id': '106130759.2098', 'lane_index': 0, 'direction': 'S', 'speed': '94.55', 'distance': '78.79200888701273', 'vehicle_class': 'passenger', 'route_id': '106130759_to_491989399#1-AddedOnRampEdge.925'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:19', 'vehicle_id': 'NRA_000000001508_Southbound-4.23044', 'lane_id': '106130759.2098', 'lane_index': 1, 'direction': 'S', 'speed': '101.71', 'distance': '98.38333618592979', 'vehicle_class': 'passenger', 'route_id': '106130759_to_345616204#1.655'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:20', 'vehicle_id': 'NRA_000000001508_Southbound-4.23044', 'lane_id': '106130759.2098', 'lane_index': 1, 'direction': 'S', 'speed': '96.23', 'distance': '69.28744911368572', 'vehicle_class': 'passenger', 'route_id': '106130759_to_345616204#1.655'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:21', 'vehicle_id': 'NRA_000000001508_Southbound-3.22889', 'lane_id': '106130759.2098', 'lane_index': 2, 'direction': 'S', 'speed': '113.21', 'distance': '90.92840121280312', 'vehicle_class': 'passenger', 'route_id': '106130759_to_345616204#1.655'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:21', 'vehicle_id': 'NRA_000000001508_Southbound-4.23041', 'lane_id': '106130759.2098', 'lane_index': 0, 'direction': 'S', 'speed': '96.0', 'distance': '29.646184036629442', 'vehicle_class': 'passenger', 'route_id': '106130759_to_491989399#1-AddedOnRampEdge.925'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:21', 'vehicle_id': 'NRA_000000001508_Southbound-4.23044', 'lane_id': '106130759.2098', 'lane_index': 1, 'direction': 'S', 'speed': '96.82', 'distance': '50.310235816324585', 'vehicle_class': 'passenger', 'route_id': '106130759_to_345616204#1.655'}
